dateff,mktrf,smb,hml,rf,umd
20020131,-0.014400,0.011900,0.033300,0.00140,0.036800
20020228,-0.022900,-0.011000,0.025000,0.00130,0.067600
20020328,0.042400,0.042300,0.011000,0.00130,-0.016600
20020430,-0.052000,0.059400,0.039200,0.00150,0.079500
20020531,-0.013800,-0.032100,0.016800,0.00140,0.029700
20020628,-0.072100,0.042700,0.001200,0.00130,0.061500
20020731,-0.081800,-0.053000,-0.034400,0.00150,0.033400
20020830,0.005000,-0.024400,0.025200,0.00140,0.017600
20020930,-0.103500,0.025700,0.013200,0.00140,0.090900
20021031,0.078400,-0.029100,-0.054500,0.00140,-0.053000
20021129,0.059600,0.028400,-0.011200,0.00120,-0.161700
20021231,-0.057600,0.000100,0.022300,0.00110,0.096400
20030131,-0.025700,0.013900,-0.009300,0.00100,0.016100
20030228,-0.018800,-0.003400,-0.014500,0.00090,0.012500
20030331,0.010900,0.008900,-0.020800,0.00100,0.016100
20030430,0.082200,0.005600,0.010300,0.00100,-0.094600
20030530,0.060500,0.046900,-0.002900,0.00090,-0.107700
20030630,0.014200,0.016700,0.006800,0.00100,-0.010600
20030731,0.023500,0.052400,-0.011300,0.00070,-0.003100
20030829,0.023400,0.026000,0.020300,0.00070,-0.005600
20030930,-0.012400,0.008000,0.000100,0.00080,-0.001900
20031031,0.060800,0.026800,0.017700,0.00070,0.037300
20031128,0.013500,0.020200,0.018500,0.00070,0.016200
20031231,0.042900,-0.030000,0.024100,0.00080,-0.057100
20040130,0.021500,0.028000,0.019700,0.00070,0.026000
20040227,0.014000,-0.014300,0.005000,0.00060,-0.011000
20040331,-0.013200,0.017500,0.002200,0.00090,0.002100
20040430,-0.018300,-0.020600,-0.026200,0.00080,-0.053900
20040528,0.011700,-0.002100,-0.003900,0.00060,0.016000
20040630,0.018600,0.022600,0.013900,0.00080,0.021000
20040730,-0.040600,-0.038100,0.041200,0.00100,-0.022900
20040831,0.000800,-0.016200,0.010200,0.00110,-0.015500
20040930,0.016000,0.030400,-0.002500,0.00110,0.052500
20041029,0.014300,0.003100,-0.006200,0.00110,-0.015200
20041130,0.045400,0.039100,0.018000,0.00150,0.032300
20041231,0.034300,0.001200,-0.000700,0.00160,-0.028400
20050131,-0.027600,-0.015100,0.019600,0.00160,0.032000
20050228,0.018900,-0.005100,0.016400,0.00160,0.031600
20050331,-0.019700,-0.013800,0.015900,0.00210,0.005400
20050429,-0.026100,-0.039800,-0.003500,0.00210,-0.008700
20050531,0.036500,0.028800,-0.008100,0.00240,0.004400
20050630,0.005700,0.026200,0.026300,0.00230,0.020500
20050729,0.039200,0.029300,-0.005100,0.00240,-0.000100
20050831,-0.012200,-0.009200,0.012700,0.00300,0.022700
20050930,0.004900,-0.005800,0.007600,0.00290,0.034600
20051031,-0.020200,-0.012100,0.002300,0.00270,-0.012900
20051130,0.036100,0.009100,-0.011900,0.00310,0.002500
20051230,-0.002500,-0.004500,0.004400,0.00320,0.007700
20060131,0.030400,0.054100,0.011200,0.00350,0.026800
20060228,-0.003000,-0.003700,-0.002500,0.00340,-0.018400
20060331,0.014600,0.035500,0.006000,0.00370,0.012600
20060428,0.007300,-0.013400,0.026000,0.00360,0.006100
20060531,-0.035700,-0.030400,0.025500,0.00430,-0.036500
20060630,-0.003500,-0.003500,0.008800,0.00400,0.014800
20060731,-0.007800,-0.040700,0.029400,0.00400,-0.022200
20060831,0.020300,0.009000,-0.017100,0.00420,-0.034600
20060929,0.018400,-0.013700,0.000500,0.00410,-0.009400
20061031,0.032300,0.017200,-0.000400,0.00410,-0.002300
20061130,0.017100,0.008600,0.000700,0.00420,-0.010100
20061229,0.008700,-0.011000,0.031500,0.00400,0.008400
20070131,0.014000,0.001100,-0.001100,0.00440,0.002100
20070228,-0.019600,0.013200,-0.000900,0.00380,-0.013500
20070330,0.006800,-0.000500,-0.002200,0.00430,0.024900
20070430,0.034900,-0.020700,-0.011500,0.00440,-0.001600
20070531,0.032400,0.000200,-0.000400,0.00410,-0.002700
20070629,-0.019600,0.007800,-0.011200,0.00400,0.003700
20070731,-0.037300,-0.025100,-0.033300,0.00400,0.028000
